"State","Year","Per_Capita_Income","GDP_Million","Population"
"Alabama",2011,34884,201372.8,4799642
"Alabama",2012,35559,203675.5,4816632
"Alabama",2013,35706,206962.9,4831586
"Alabama",2014,36722,206070,4843737
"Alaska",2011,52415,54045.5,722349
"Alaska",2012,53340,57087.4,730810
"Alaska",2013,52252,54627.6,737626
"Alaska",2014,55098,53303.3,737075
"Arizona",2011,35263,290411.3,6473416
"Arizona",2012,36364,297077.3,6556344
"Arizona",2013,36918,298859.9,6634690
"Arizona",2014,38268,301721.2,6732873
"Arkansas",2011,34181,115241.8,2941038
"Arkansas",2012,36289,116616.2,2952876
"Arkansas",2013,36286,119842.8,2960459
"Arkansas",2014,38220,121409.4,2968759
"California",2011,45508,2192887.2,37636311
"California",2012,47793,2255437.3,37944551
"California",2013,48074,2340335.3,38253768
"California",2014,50617,2428675.7,38586706
"Colorado",2011,43735,283963.8,5121900
"Colorado",2012,45495,289339.5,5193660
"Colorado",2013,47088,301484.1,5270774
"Colorado",2014,50251,315399,5352637
"Connecticut",2011,62964,261555.8,3588632
"Connecticut",2012,63556,263649.9,3595211
"Connecticut",2013,62000,258911,3595792
"Connecticut",2014,64484,260605.8,3595697
"Delaware",2011,43779,71103.5,907590
"Delaware",2012,43771,70562.4,915518
"Delaware",2013,43943,68656.8,924062
"Delaware",2014,45359,73961.7,933131
"District of Columbia",2011,66985,122636.4,620290
"District of Columbia",2012,67522,123567.9,635737
"District of Columbia",2013,67081,124094.8,651559
"District of Columbia",2014,70527,126883.9,663603
"Florida",2011,40437,849395.3,19055607
"Florida",2012,41211,857861.3,19302016
"Florida",2013,40743,880183.5,19551678
"Florida",2014,42877,905648.5,19853880
"Georgia",2011,36760,481215.4,9803630
"Georgia",2012,37250,489027.3,9903580
"Georgia",2013,37484,499900.2,9975592
"Georgia",2014,39550,517511.9,10071204
"Hawaii",2011,42758,77174.2,1379562
"Hawaii",2012,43523,78694,1395199
"Hawaii",2013,43548,80534.9,1408822
