SAGDP1 State annual gross domestic product (GDP) summary
SAGDP1 State annual gross domestic product (GDP) summary
State or DC
GeoFIPS,GeoName,2011,2012,2013,2014
00000,United States,17052410.0,17442759.0,17812167.0,18261714.0
01000,Alabama,201372.8,203675.5,206962.9,206070.0
02000,Alaska,54045.5,57087.4,54627.6,53303.3
04000,Arizona,290411.3,297077.3,298859.9,301721.2
05000,Arkansas,115241.8,116616.2,119842.8,121409.4
06000,California,2192887.2,2255437.3,2340335.3,2428675.7
08000,Colorado,283963.8,289339.5,301484.1,315399.0
09000,Connecticut,261555.8,263649.9,258911.0,260605.8
10000,Delaware,71103.5,70562.4,68656.8,73961.7
11000,District of Columbia,122636.4,123567.9,124094.8,126883.9
12000,Florida,849395.3,857861.3,880183.5,905648.5
13000,Georgia,481215.4,489027.3,499900.2,517511.9
15000,Hawaii,77174.2,78694.0,80534.9,81304.9
16000,Idaho,62704.0,62007.3,64769.8,66784.9
17000,Illinois,772225.6,790723.3,795435.2,811490.1
18000,Indiana,321532.8,323876.2,333207.4,343827.8
19000,Iowa,164559.3,170923.7,171069.1,180309.9
20000,Kansas,147836.8,150077.1,150702.9,154110.1
21000,Kentucky,188389.8,192060.1,196698.0,196795.8
22000,Louisiana,241235.9,242416.8,236482.3,243042.9
23000,Maine,59429.7,59181.7,59013.9,59589.8
24000,Maryland,360155.9,361561.8,364633.2,370343.9
25000,Massachusetts,472664.3,483286.3,486991.8,496250.9
26000,Michigan,453989.1,463302.6,472779.9,479534.9
27000,Minnesota,315213.3,321053.9,329774.5,338623.9
28000,Mississippi,106491.1,108646.5,109032.7,109299.6
29000,Missouri,292984.2,296514.3,302025.7,303617.8
30000,Montana,43532.2,44329.1,45114.7,46166.7
31000,Nebraska,109734.2,109686.3,111382.2,115651.9
32000,Nevada,144341.2,142986.1,144549.3,145303.6
33000,New Hampshire,73465.0,74082.8,75503.4,76836.2
34000,New Jersey,548479.3,560729.7,570952.4,570696.4
35000,New Mexico,90552.3,90762.4,90104.0,92621.1
36000,New York,1440346.8,1496280.1,1501818.0,1535375.9
37000,North Carolina,484200.3,488126.5,497456.6,509782.4
38000,North Dakota,43300.4,53326.8,54690.9,60193.0
39000,Ohio,580251.4,586540.9,603057.4,624973.4
40000,Oklahoma,163859.3,172016.0,176086.8,186574.4
41000,Oregon,185959.4,187352.4,189609.7,195808.2
42000,Pennsylvania,676468.3,689007.0,704195.0,718691.6
44000,Rhode Island,56026.6,56487.4,57037.2,57602.7
45000,South Carolina,193221.0,195406.1,200147.3,206077.9
46000,South Dakota,47630.3,48653.9,48610.1,49640.9
47000,Tennessee,301508.9,311754.2,318347.9,323879.6
48000,Texas,1370174.9,1438354.4,1511806.5,1559636.1
49000,Utah,138301.1,140622.5,145026.9,150076.3
50000,Vermont,31663.6,31898.1,31494.6,31847.7
51000,Virginia,479571.4,483041.4,488741.3,488918.6
53000,Washington,411575.7,426447.0,439472.2,456186.5
54000,West Virginia,73175.2,73124.5,73949.0,74111.3
55000,Wisconsin,293664.0,299007.6,301550.5,309425.8
56000,Wyoming,38929.8,38085.0,38408.7,39287.2
91000,New England,954794.9,968580.1,968966.6,982746.2
92000,Mideast,3219506.5,3301294.0,3334509.2,3395872.9
93000,Great Lakes,2421624.4,2463334.0,2505982.4,2569254.7
94000,Plains,1120460.1,1149893.6,1167911.5,1202106.7
95000,Southeast,3716013.1,3762626.3,3828029.9,3902765.3
96000,Southwest,1912613.8,1996352.0,2075730.9,2140042.2
97000,Rocky Mountain,567498.0,574357.6,594720.7,617617.8
98000,Far West,3066026.0,3148430.2,3249257.6,3360531.4

Legend/Footnotes
"1. Real GDP is in millions of chained 2017 dollars. Calculations are performed on unrounded data. Chained (2017) dollar series are calculated as the product of the chain-type quantity index and the 2017 current-dollar value of the corresponding series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates are usually not additive. The difference between the United States and sum-of-states reflects federal military and civilian activity located overseas, as well as the differences in source data used to estimate GDP by industry and the expenditures measure of real GDP."
"  Last updated: April 9, 2026-- new statistics for 2025."
