"SAINC1 State annual personal income summary: personal income, population, per capita personal income"
"SAINC1 State annual personal income summary: personal income, population, per capita personal income"
State or DC
GeoFIPS,GeoName,2011,2012,2013,2014
00000,United States,42650,44238,44402,46289
01000,Alabama,34884,35559,35706,36722
02000,Alaska *,52415,53340,52252,55098
04000,Arizona,35263,36364,36918,38268
05000,Arkansas,34181,36289,36286,38220
06000,California,45508,47793,48074,50617
08000,Colorado,43735,45495,47088,50251
09000,Connecticut,62964,63556,62000,64484
10000,Delaware,43779,43771,43943,45359
11000,District of Columbia,66985,67522,67081,70527
12000,Florida,40437,41211,40743,42877
13000,Georgia,36760,37250,37484,39550
15000,Hawaii *,42758,43523,43548,45445
16000,Idaho,33447,34812,35699,37107
17000,Illinois,44075,45934,46735,48536
18000,Indiana,37681,39148,39435,40719
19000,Iowa,40879,42539,43009,44120
20000,Kansas,42889,44913,45669,46289
21000,Kentucky,34607,35630,35758,37225
22000,Louisiana,38966,40662,40996,42533
23000,Maine,39502,39992,39950,41137
24000,Maryland,51797,52481,51871,53075
25000,Massachusetts,54757,56259,56119,58129
26000,Michigan,37689,39042,39292,40829
27000,Minnesota,45134,47399,47413,49357
28000,Mississippi,32454,33441,33976,34623
29000,Missouri,38402,39983,40121,41380
30000,Montana,38150,40217,40142,41850
31000,Nebraska,45607,46385,45911,48187
32000,Nevada,38595,39680,39331,41126
33000,New Hampshire,49086,50715,50423,51988
34000,New Jersey,52854,54235,54365,56367
35000,New Mexico,35069,35694,34857,36880
36000,New York,50772,52625,52874,54496
37000,North Carolina,36822,38876,38074,39880
38000,North Dakota,48873,56056,54337,56647
39000,Ohio,38927,40279,40752,42277
40000,Oklahoma,39694,41905,43607,45884
41000,Oregon,37531,39128,39462,41654
42000,Pennsylvania,44119,45637,45902,47467
44000,Rhode Island,44095,45298,45104,46630
45000,South Carolina,34406,35807,35923,37755
46000,South Dakota,44532,44996,44988,46732
47000,Tennessee,37696,39079,39099,40225
48000,Texas,41941,43869,44403,46747
49000,Utah,34015,35622,36102,37621
50000,Vermont,43754,44858,45296,46894
51000,Virginia,47563,49049,48195,49760
53000,Washington,44279,47053,47448,50259
54000,West Virginia,34490,35233,35093,36243
55000,Wisconsin,41067,42639,42685,44156
56000,Wyoming,50631,53597,52835,56251
91000,New England,53624,54788,54319,56278
92000,Mideast,49603,51099,51224,52876
93000,Great Lakes,40177,41713,42149,43709
94000,Plains,42373,44289,44420,45907
95000,Southeast,38278,39458,39255,40966
96000,Southwest,40205,41961,42550,44716
97000,Rocky Mountain,39642,41400,42336,44708
98000,Far West *,44439,46617,46860,49357

Legend/Footnotes
2. Per capita personal income is total personal income divided by total midyear population.
* Estimates prior to 1950 are not available for Alaska and Hawaii.
Note. All dollar estimates are in millions of current dollars (not adjusted for inflation). Calculations are performed on unrounded data.
"  Last updated: April 9, 2026-- new statistics for 2025; revised statistics for 2020-2024."
